R_version	name	version	date_time	hash	binary_location
4.3.0	isoband	0.2.7	2023-06-05T17:11:55Z	ce5ea980d16f4de8dec713822d69d4c9	/cloud/project/ds_2023/r_4_2_cache/library/isoband/0.2.7/ce5ea980d16f4de8dec713822d69d4c9/isoband
4.3.0	jquerylib	0.1.4	2023-06-02T18:58:50Z	3f6707eef7a52e919f083cfe0239f29b	/cloud/project/ds_2023/r_4_2_cache/library/jquerylib/0.1.4/3f6707eef7a52e919f083cfe0239f29b/jquerylib
4.3.0	jsonlite	1.8.4	2023-06-02T18:58:51Z	98018f81d37e85455daacf911866e45a	/cloud/project/ds_2023/r_4_2_cache/library/jsonlite/1.8.4/98018f81d37e85455daacf911866e45a/jsonlite
4.3.0	knitr	1.43	2023-06-02T18:58:51Z	646274bd421568d1602f18157b88730c	/cloud/project/ds_2023/r_4_2_cache/library/knitr/1.43/646274bd421568d1602f18157b88730c/knitr
4.3.0	labeling	0.4.2	2023-06-05T17:11:56Z	f1f5b4c63d5551554b4ea427ed119331	/cloud/project/ds_2023/r_4_2_cache/library/labeling/0.4.2/f1f5b4c63d5551554b4ea427ed119331/labeling
4.3.0	later	1.3.1	2023-06-02T18:58:52Z	c0539244c5980d47c1331275319a927c	/cloud/project/ds_2023/r_4_2_cache/library/later/1.3.1/c0539244c5980d47c1331275319a927c/later
4.3.0	lattice	0.21.8	2023-06-02T18:58:52Z	31d99570b1cd33030b57d5ecb2de8aa7	/cloud/project/ds_2023/r_4_2_cache/library/lattice/0.21-8/31d99570b1cd33030b57d5ecb2de8aa7/lattice
4.3.0	lifecycle	1.0.3	2023-06-02T18:58:53Z	75e2bd94a18e9c1e5062c8a56f9c0d0f	/cloud/project/ds_2023/r_4_2_cache/library/lifecycle/1.0.3/75e2bd94a18e9c1e5062c8a56f9c0d0f/lifecycle
4.3.0	lubridate	1.9.2	2023-06-05T17:11:56Z	44e896244f147713206de7fbca2c069a	/cloud/project/ds_2023/r_4_2_cache/library/lubridate/1.9.2/44e896244f147713206de7fbca2c069a/lubridate
4.3.0	magrittr	2.0.3	2023-06-02T18:58:53Z	aac5e9833bd5b3604c1380d9701eff62	/cloud/project/ds_2023/r_4_2_cache/library/magrittr/2.0.3/aac5e9833bd5b3604c1380d9701eff62/magrittr
4.3.0	memoise	2.0.1	2023-06-02T18:58:53Z	9e0470fa957c26e1b2f75cfe32d22c6b	/cloud/project/ds_2023/r_4_2_cache/library/memoise/2.0.1/9e0470fa957c26e1b2f75cfe32d22c6b/memoise
4.3.0	methods	4.3.0	2023-06-02T18:58:53Z	0ce103d44ad036715cdd029c205e36f4	/cloud/project/ds_2023/r_4_2_cache/library/methods/4.3.0/0ce103d44ad036715cdd029c205e36f4/methods
4.3.0	mgcv	1.8.42	2023-06-02T18:58:53Z	3a88ad283a5cdbaf2527eeb4198612cd	/cloud/project/ds_2023/r_4_2_cache/library/mgcv/1.8-42/3a88ad283a5cdbaf2527eeb4198612cd/mgcv
4.3.0	mime	0.12	2023-06-02T18:58:53Z	49b6b1e4693e3ac3c43351a3fd980010	/cloud/project/ds_2023/r_4_2_cache/library/mime/0.12/49b6b1e4693e3ac3c43351a3fd980010/mime
4.3.0	miniUI	0.1.1.1	2023-06-02T18:58:54Z	d28ea2db4da74d7b98088928496d729b	/cloud/project/ds_2023/r_4_2_cache/library/miniUI/0.1.1.1/d28ea2db4da74d7b98088928496d729b/miniUI
4.3.0	modelr	0.1.11	2023-06-05T17:11:57Z	d87be87f4e15c0ea93dad9f9b3a93154	/cloud/project/ds_2023/r_4_2_cache/library/modelr/0.1.11/d87be87f4e15c0ea93dad9f9b3a93154/modelr
4.3.0	munsell	0.5.0	2023-06-05T17:11:57Z	84d558894a16856f2a66fb7d63dbc692	/cloud/project/ds_2023/r_4_2_cache/library/munsell/0.5.0/84d558894a16856f2a66fb7d63dbc692/munsell
4.3.0	nlme	3.1.162	2023-06-02T18:58:54Z	63b2deea5009fee52016e0b125f7128d	/cloud/project/ds_2023/r_4_2_cache/library/nlme/3.1-162/63b2deea5009fee52016e0b125f7128d/nlme
4.3.0	nnet	7.3.18	2023-06-02T18:58:54Z	7b721fcfbfc6eb1b0dc4ea5f39087d2d	/cloud/project/ds_2023/r_4_2_cache/library/nnet/7.3-18/7b721fcfbfc6eb1b0dc4ea5f39087d2d/nnet
4.3.0	openssl	2.0.6	2023-06-02T18:58:54Z	df722e29e06cc151f79dc944a351f036	/cloud/project/ds_2023/r_4_2_cache/library/openssl/2.0.6/df722e29e06cc151f79dc944a351f036/openssl
4.3.0	pak	0.5.1	2023-06-02T18:58:57Z	462091ca3846074d4dc330bf8cf75bd2	/cloud/project/ds_2023/r_4_2_cache/library/pak/0.5.1/462091ca3846074d4dc330bf8cf75bd2/pak
4.3.0	parallel	4.3.0	2023-06-02T18:58:58Z	afa4a97c71e4bb771ef8ffa2d6ef2614	/cloud/project/ds_2023/r_4_2_cache/library/parallel/4.3.0/afa4a97c71e4bb771ef8ffa2d6ef2614/parallel
4.3.0	pillar	1.9.0	2023-06-02T18:58:58Z	8e6e42aa6c847297a9d94227b311ec20	/cloud/project/ds_2023/r_4_2_cache/library/pillar/1.9.0/8e6e42aa6c847297a9d94227b311ec20/pillar
4.3.0	pkgbuild	1.4.0	2023-06-02T18:58:59Z	8e629d8cd1c5a8e2dbae7f059fcc0215	/cloud/project/ds_2023/r_4_2_cache/library/pkgbuild/1.4.0/8e629d8cd1c5a8e2dbae7f059fcc0215/pkgbuild
4.3.0	pkgcache	2.1.0	2023-06-02T18:58:59Z	5e81b120b36672ebf82a106ada891fce	/cloud/project/ds_2023/r_4_2_cache/library/pkgcache/2.1.0/5e81b120b36672ebf82a106ada891fce/pkgcache
4.3.0	pkgconfig	2.0.3	2023-06-02T18:58:59Z	77b764e47359b9479503120fc4bce628	/cloud/project/ds_2023/r_4_2_cache/library/pkgconfig/2.0.3/77b764e47359b9479503120fc4bce628/pkgconfig
4.3.0	pkgdown	2.0.7	2023-06-02T18:59:00Z	416920115dcd9bbf0be3276924458614	/cloud/project/ds_2023/r_4_2_cache/library/pkgdown/2.0.7/416920115dcd9bbf0be3276924458614/pkgdown
4.3.0	pkgload	1.3.2	2023-06-02T18:59:00Z	a12c65c852e59d7ee98fb039f92f9ab2	/cloud/project/ds_2023/r_4_2_cache/library/pkgload/1.3.2/a12c65c852e59d7ee98fb039f92f9ab2/pkgload
4.3.0	praise	1.0.0	2023-06-02T18:59:00Z	52315c400d1cbe98d62dfbc81ddba0b6	/cloud/project/ds_2023/r_4_2_cache/library/praise/1.0.0/52315c400d1cbe98d62dfbc81ddba0b6/praise
4.3.0	prettyunits	1.1.1	2023-06-02T18:59:00Z	46d5751eee11030e8f5a381c6322f0ce	/cloud/project/ds_2023/r_4_2_cache/library/prettyunits/1.1.1/46d5751eee11030e8f5a381c6322f0ce/prettyunits
4.3.0	processx	3.8.1	2023-06-02T18:59:01Z	80155b0d80a3239d85c071255ae97486	/cloud/project/ds_2023/r_4_2_cache/library/processx/3.8.1/80155b0d80a3239d85c071255ae97486/processx
4.3.0	profvis	0.3.8	2023-06-02T18:59:01Z	c21b09ebe360684ae494b5fc9715cfce	/cloud/project/ds_2023/r_4_2_cache/library/profvis/0.3.8/c21b09ebe360684ae494b5fc9715cfce/profvis
4.3.0	progress	1.2.2	2023-06-02T18:59:01Z	9a7b08b586910db45625a78339b27d93	/cloud/project/ds_2023/r_4_2_cache/library/progress/1.2.2/9a7b08b586910db45625a78339b27d93/progress
4.3.0	promises	1.2.0.1	2023-06-02T18:59:02Z	304d69fd1dc7cc3409c8f42e5e83dce7	/cloud/project/ds_2023/r_4_2_cache/library/promises/1.2.0.1/304d69fd1dc7cc3409c8f42e5e83dce7/promises
4.3.0	prompt	1.0.1	2023-06-02T18:59:02Z	145cf285a3105af709d1fd9bae6202c5	/cloud/project/ds_2023/r_4_2_cache/library/prompt/1.0.1/145cf285a3105af709d1fd9bae6202c5/prompt
4.3.0	ps	1.7.5	2023-06-02T18:59:02Z	fa9467075d38e26444403ddf8e66eed9	/cloud/project/ds_2023/r_4_2_cache/library/ps/1.7.5/fa9467075d38e26444403ddf8e66eed9/ps
4.3.0	purrr	1.0.1	2023-06-02T18:59:02Z	e508c91302de7ea709e1b81f34a4f5fd	/cloud/project/ds_2023/r_4_2_cache/library/purrr/1.0.1/e508c91302de7ea709e1b81f34a4f5fd/purrr
4.3.0	ragg	1.2.5	2023-06-02T18:59:03Z	d131b4faa2dd297f94019dc8eb177190	/cloud/project/ds_2023/r_4_2_cache/library/ragg/1.2.5/d131b4faa2dd297f94019dc8eb177190/ragg
4.3.0	rappdirs	0.3.3	2023-06-02T18:59:03Z	aeaecc0253c64ab1eb783937e0c73d70	/cloud/project/ds_2023/r_4_2_cache/library/rappdirs/0.3.3/aeaecc0253c64ab1eb783937e0c73d70/rappdirs
